dep,week,pop,P,cl_age90
2,2020-S40,67540,42,19
2,2020-S40,51443,44,29
2,2020-S40,62599,41,39
2,2020-S40,64812,51,49
2,2020-S40,70352,33,59
2,2020-S40,69077,23,69
2,2020-S40,45371,14,79
2,2020-S40,25627,4,89
2,2020-S40,6917,2,90
2,2020-S40,526050,268,0
3,2020-S21,30871,0,9
3,2020-S21,35788,0,19
3,2020-S21,28141,14,29
3,2020-S21,33349,7,39
3,2020-S21,39464,1,49
3,2020-S21,45840,1,59
3,2020-S21,48958,0,69
3,2020-S21,38220,2,79
3,2020-S21,23577,2,89
3,2020-S21,7107,0,90
3,2020-S21,331315,27,0
3,2020-S22,30871,0,9
3,2020-S22,35788,1,19
3,2020-S22,28141,0,29
3,2020-S22,33349,0,39
3,2020-S22,39464,1,49
3,2020-S22,45840,3,59
3,2020-S22,48958,3,69
3,2020-S22,38220,0,79
3,2020-S22,23577,0,89
3,2020-S22,7107,1,90
3,2020-S22,331315,9,0
3,2020-S23,30871,0,9
3,2020-S23,35788,0,19
3,2020-S23,28141,1,29
3,2020-S23,33349,0,39
3,2020-S23,39464,0,49
3,2020-S23,45840,0,59
3,2020-S23,48958,0,69
3,2020-S23,38220,0,79
3,2020-S23,23577,2,89
3,2020-S23,7107,0,90
3,2020-S23,331315,3,0
3,2020-S24,30871,1,9
3,2020-S24,35788,1,19
3,2020-S24,28141,1,29
3,2020-S24,33349,1,39
3,2020-S24,39464,0,49
3,2020-S24,45840,0,59
3,2020-S24,48958,1,69
3,2020-S24,38220,0,79
3,2020-S24,23577,1,89
3,2020-S24,7107,1,90
3,2020-S24,331315,7,0
3,2020-S25,30871,0,9
3,2020-S25,35788,1,19
3,2020-S25,28141,0,29
3,2020-S25,33349,2,39
3,2020-S25,39464,2,49
3,2020-S25,45840,0,59
3,2020-S25,48958,0,69
3,2020-S25,38220,0,79
3,2020-S25,23577,0,89
3,2020-S25,7107,0,90
3,2020-S25,331315,5,0
3,2020-S26,30871,1,9
3,2020-S26,35788,0,19
3,2020-S26,28141,1,29
3,2020-S26,33349,1,39
3,2020-S26,39464,0,49
3,2020-S26,45840,0,59
3,2020-S26,48958,0,69
3,2020-S26,38220,0,79
3,2020-S26,23577,0,89
3,2020-S26,7107,0,90
3,2020-S26,331315,3,0
3,2020-S27,30871,0,9
3,2020-S27,35788,3,19
3,2020-S27,28141,0,29
3,2020-S27,33349,0,39
3,2020-S27,39464,0,49
3,2020-S27,45840,2,59
3,2020-S27,48958,0,69
3,2020-S27,38220,0,79
3,2020-S27,23577,1,89
3,2020-S27,7107,0,90
3,2020-S27,331315,6,0
3,2020-S28,30871,0,9
3,2020-S28,35788,0,19
3,2020-S28,28141,0,29
3,2020-S28,33349,1,39
3,2020-S28,39464,0,49
3,2020-S28,45840,0,59
3,2020-S28,48958,1,69
3,2020-S28,38220,1,79
3,2020-S28,23577,0,89
3,2020-S28,7107,0,90
3,2020-S28,331315,3,0
3,2020-S29,30871,0,9
3,2020-S29,35788,0,19
3,2020-S29,28141,1,29
3,2020-S29,33349,4,39
3,2020-S29,39464,3,49
3,2020-S29,45840,0,59
3,2020-S29,48958,0,69
3,2020-S29,38220,0,79
3,2020-S29,23577,0,89
3,2020-S29,7107,0,90
3,2020-S29,331315,8,0
3,2020-S30,30871,4,9
3,2020-S30,35788,1,19
3,2020-S30,28141,6,29
3,2020-S30,33349,1,39
3,2020-S30,39464,1,49
3,2020-S30,45840,0,59
3,2020-S30,48958,0,69
3,2020-S30,38220,2,79
3,2020-S30,23577,0,89
3,2020-S30,7107,0,90
3,2020-S30,331315,15,0
3,2020-S31,30871,0,9
3,2020-S31,35788,3,19
3,2020-S31,28141,1,29
